num_coop_neighbors,p_s_given_C,p_s_given_D,prob_C_to_D_s,prob_D_to_C_s,r,run_id,rho_c_observed,p_c_to_d_observed,p_d_to_c_observed,p_c_to_d_predicted,p_d_to_c_predicted,rho_c_predicted
0,0.05718682112245471,0.6921888121009785,0.7971881469288971,0.681988625063758,2.2,0,0.3345596,0.9831181051149033,0.494275370115791,0.9831479272381594,0.49406039888471853,0.334455465859337
1,0.06566602781686731,0.18533951350113398,0.9242994562223458,0.11564470924453536,2.2,0,0.3345596,0.9831181051149033,0.494275370115791,0.9831479272381594,0.49406039888471853,0.334455465859337
2,0.14393130551327776,0.08927621466926264,0.9980341067269184,0.005981627617632847,2.2,0,0.3345596,0.9831181051149033,0.494275370115791,0.9831479272381594,0.49406039888471853,0.334455465859337
3,0.22054187056655974,0.02701669450787779,1.0,0.0,2.2,0,0.3345596,0.9831181051149033,0.494275370115791,0.9831479272381594,0.49406039888471853,0.334455465859337
4,0.5126739749808404,0.006178765220747042,1.0,0.004523786360540909,2.2,0,0.3345596,0.9831181051149033,0.494275370115791,0.9831479272381594,0.49406039888471853,0.334455465859337
0,0.04442251424020499,0.7000437679624636,0.7934994758650624,0.7177038021210933,2.2,1,0.346554,0.9857846107677303,0.5228104541155658,0.9858010395141685,0.522881451911394,0.3465815072973508
1,0.06282195559710751,0.17823110096320124,0.924252451991945,0.11189176041468951,2.2,1,0.346554,0.9857846107677303,0.5228104541155658,0.9858010395141685,0.522881451911394,0.3465815072973508
2,0.13720920837733802,0.08750164512446323,0.9980534913258076,0.005669791644588214,2.2,1,0.346554,0.9857846107677303,0.5228104541155658,0.9858010395141685,0.522881451911394,0.3465815072973508
3,0.23204002839384338,0.027338754847378362,1.0,0.0,2.2,1,0.346554,0.9857846107677303,0.5228104541155658,0.9858010395141685,0.522881451911394,0.3465815072973508
4,0.5235062933915061,0.00688473110249355,1.0,0.0027118342669156218,2.2,1,0.346554,0.9857846107677303,0.5228104541155658,0.9858010395141685,0.522881451911394,0.3465815072973508
0,0.028937107486084194,0.7434690846960813,0.7654327396173314,0.7952398778757079,2.2,2,0.3810056,0.9898395194191372,0.6092740095871627,0.9899181128441708,0.6093415566561414,0.38101477094493974
1,0.042724831341061656,0.14254474676992232,0.9277417873584954,0.12349868527958639,2.2,2,0.3810056,0.9898395194191372,0.6092740095871627,0.9899181128441708,0.6093415566561414,0.38101477094493974
2,0.11429333322134898,0.07954708475553252,0.998189140385783,0.006093565593899318,2.2,2,0.3810056,0.9898395194191372,0.6092740095871627,0.9899181128441708,0.6093415566561414,0.38101477094493974
3,0.20033301347801713,0.025244816431295662,1.0,0.0,2.2,2,0.3810056,0.9898395194191372,0.6092740095871627,0.9899181128441708,0.6093415566561414,0.38101477094493974
4,0.613711714473488,0.009194267347168246,1.0,0.0017922406522350295,2.2,2,0.3810056,0.9898395194191372,0.6092740095871627,0.9899181128441708,0.6093415566561414,0.38101477094493974
0,0.031338972290279016,0.7121624574775688,0.7808511123375094,0.77302006545075,2.2,3,0.3666872,0.9892180583341879,0.5727627800985547,0.989121423211164,0.572970306148189,0.36679683745792335
1,0.05140075792119278,0.16646434431768944,0.9266644683064186,0.1317656003020447,2.2,3,0.3666872,0.9892180583341879,0.5727627800985547,0.989121423211164,0.572970306148189,0.36679683745792335
2,0.13524660800813337,0.08688408003122627,0.99821678367477,0.005794214710857708,2.2,3,0.3666872,0.9892180583341879,0.5727627800985547,0.989121423211164,0.572970306148189,0.36679683745792335
3,0.2295645989279146,0.02679244758672176,1.0,0.0,2.2,3,0.3666872,0.9892180583341879,0.5727627800985547,0.989121423211164,0.572970306148189,0.36679683745792335
4,0.5524490628524803,0.007696670586793761,1.0,0.0021746266207122926,2.2,3,0.3666872,0.9892180583341879,0.5727627800985547,0.989121423211164,0.572970306148189,0.36679683745792335
0,0.05271457882205855,0.6918507608932696,0.8072460098740437,0.6944817263406838,2.2,4,0.3378572,0.9847083323960537,0.5024299894222213,0.9845785157061111,0.502509149215573,0.33791494682462925
1,0.06456455567618509,0.1893996279956529,0.9227699710138477,0.11334629805717623,2.2,4,0.3378572,0.9847083323960537,0.5024299894222213,0.9845785157061111,0.502509149215573,0.33791494682462925
2,0.14012192133244458,0.08839664193282779,0.9980430158309964,0.006065900285888551,2.2,4,0.3378572,0.9847083323960537,0.5024299894222213,0.9845785157061111,0.502509149215573,0.33791494682462925
3,0.22326118845476728,0.02427029335665962,1.0,0.0,2.2,4,0.3378572,0.9847083323960537,0.5024299894222213,0.9845785157061111,0.502509149215573,0.33791494682462925
4,0.5193377557145444,0.006082675821590147,1.0,0.004518820141026914,2.2,4,0.3378572,0.9847083323960537,0.5024299894222213,0.9845785157061111,0.502509149215573,0.33791494682462925
0,0.03552071127807225,0.7082448896786725,0.7750419941798848,0.7589870044217655,2.2,5,0.3611752,0.9877123346231967,0.5584241563571107,0.9876401231086369,0.5582484590608311,0.36111817209840363
1,0.05409230755600052,0.16834600034313008,0.9238822573622073,0.11962098761312567,2.2,5,0.3611752,0.9877123346231967,0.5584241563571107,0.9876401231086369,0.5582484590608311,0.36111817209840363
2,0.14082362244140795,0.0894004115056272,0.9982117760689709,0.00607706969857959,2.2,5,0.3611752,0.9877123346231967,0.5584241563571107,0.9876401231086369,0.5582484590608311,0.36111817209840363
3,0.22131752124730603,0.026740978121074822,1.0,1.1707682581309856e-05,2.2,5,0.3611752,0.9877123346231967,0.5584241563571107,0.9876401231086369,0.5582484590608311,0.36111817209840363
4,0.5482458374772132,0.0072677203514954335,1.0,0.0025415697423968294,2.2,5,0.3611752,0.9877123346231967,0.5584241563571107,0.9876401231086369,0.5582484590608311,0.36111817209840363
0,0.03955566385510117,0.7136770398203022,0.7932666103985261,0.7417814019790955,2.2,6,0.3578552,0.9873937838544752,0.5502515943444531,0.9875717219762885,0.5500328499086926,0.35772061293652113
1,0.054692512502263486,0.16743575592296317,0.926768297888874,0.12020158594101701,2.2,6,0.3578552,0.9873937838544752,0.5502515943444531,0.9875717219762885,0.5500328499086926,0.35772061293652113
