mc_step,rho_C,L_CD
321,0.6693,8878
322,0.6679,8926
323,0.6678,8758
324,0.6566,9096
325,0.6611,8958
326,0.6513,9142
327,0.6598,8946
328,0.6703,8876
329,0.659,8978
330,0.6638,8986
331,0.6757,8810
332,0.6655,8890
333,0.6595,8978
334,0.6624,8970
335,0.6649,8948
336,0.6537,9158
337,0.6567,9026
338,0.6609,8944
339,0.6581,8968
340,0.6679,8962
341,0.6641,8940
342,0.6566,9012
343,0.6626,8882
344,0.6605,8992
345,0.6535,9130
346,0.6563,8880
347,0.6628,8982
348,0.6628,8930
349,0.6615,8862
350,0.6662,8816
351,0.6699,8892
352,0.6617,8948
353,0.6666,8932
354,0.6598,8930
355,0.6622,8960
356,0.6654,8926
357,0.668,8944
358,0.6652,8858
359,0.6647,8932
360,0.6564,9080
361,0.6724,8822
362,0.6692,8948
363,0.6576,8996
364,0.6612,8982
365,0.658,9020
366,0.6559,9106
367,0.669,8926
368,0.6631,9094
369,0.6599,8918
370,0.6644,8926
371,0.6616,9040
372,0.6597,8960
373,0.6614,8950
374,0.6573,9014
375,0.6682,8902
376,0.6663,9036
377,0.6618,9014
378,0.6706,8836
379,0.6648,8874
380,0.6593,9032
381,0.6654,8932
382,0.662,8938
383,0.6615,9072
384,0.6698,8912
385,0.655,9092
386,0.6566,8930
387,0.6668,8910
388,0.6704,8810
389,0.6558,9126
390,0.6507,9254
391,0.6601,8942
392,0.6569,9058
393,0.6668,8894
394,0.659,9064
395,0.6633,9024
396,0.6595,8974
397,0.6565,9006
398,0.6501,9112
399,0.6614,8940
400,0.6624,9012
401,0.6685,8868
402,0.6602,9030
403,0.6604,8916
404,0.663,8938
405,0.6572,9072
406,0.6675,8858
407,0.6614,8968
408,0.6589,8958
409,0.6638,8924
410,0.6592,9004
411,0.6654,9014
412,0.6658,8880
413,0.6658,8848
414,0.6659,9014
415,0.6653,8988
416,0.6684,8858
417,0.6621,8954
418,0.6646,8996
419,0.6635,8890
420,0.6713,8880
421,0.6635,8936
422,0.6651,8922
423,0.6488,9154
424,0.6568,8872
425,0.6622,8984
426,0.6586,8988
427,0.6693,8940
428,0.6651,8906
429,0.659,8914
430,0.6588,8910
431,0.6584,8948
432,0.6556,8994
433,0.6587,9050
434,0.672,8876
435,0.6652,8938
436,0.6757,8754
437,0.6667,8872
438,0.66,9040
439,0.6645,8878
440,0.6618,9038
441,0.6568,9020
442,0.6628,9046
443,0.6634,8888
444,0.6625,8932
445,0.6638,8940
446,0.6529,9124
447,0.6558,9024
448,0.6638,8900
