mc_step,rho_C,rho_CD
276,0.2068,0.3288
277,0.1908,0.3132
278,0.2108,0.3416
279,0.1848,0.302
280,0.2196,0.3384
281,0.1968,0.3184
282,0.218,0.336
283,0.1872,0.2972
284,0.1984,0.316
285,0.2072,0.3304
286,0.1828,0.2964
287,0.212,0.334
288,0.2036,0.3156
289,0.194,0.304
290,0.2012,0.3124
291,0.206,0.32
292,0.202,0.3144
293,0.2072,0.3204
294,0.1984,0.304
295,0.198,0.3144
296,0.2192,0.336
297,0.1908,0.3024
298,0.22,0.3324
299,0.1892,0.3024
300,0.2012,0.3124
301,0.2108,0.3252
302,0.1984,0.3152
303,0.2116,0.3288
304,0.1988,0.3116
305,0.1964,0.3088
306,0.2084,0.3156
307,0.2172,0.332
308,0.21,0.3348
309,0.1896,0.3008
310,0.2128,0.3368
311,0.1888,0.3044
312,0.2028,0.3216
313,0.1976,0.3096
314,0.2092,0.3204
315,0.1908,0.3124
316,0.2096,0.3288
317,0.198,0.306
318,0.2072,0.3228
319,0.2048,0.332
320,0.1992,0.3184
321,0.1996,0.3168
322,0.2004,0.3288
323,0.2056,0.3228
324,0.19,0.3092
325,0.2184,0.3416
326,0.178,0.2908
327,0.2152,0.3424
328,0.1944,0.306
329,0.2056,0.3192
330,0.2064,0.3208
331,0.2076,0.3244
332,0.2004,0.3204
333,0.1896,0.2956
334,0.206,0.3124
335,0.1948,0.3108
336,0.1972,0.32
337,0.1996,0.3256
338,0.1888,0.3068
339,0.196,0.3196
340,0.2016,0.314
341,0.2044,0.3124
342,0.2056,0.3168
343,0.2064,0.3172
344,0.196,0.312
345,0.2028,0.3268
346,0.1956,0.3128
347,0.2052,0.3272
348,0.1976,0.3164
349,0.198,0.3176
350,0.2164,0.3296
351,0.1928,0.3116
352,0.2068,0.3364
353,0.1972,0.3224
354,0.2,0.3216
355,0.2064,0.3232
356,0.1956,0.3156
357,0.1948,0.3072
358,0.1976,0.308
359,0.1984,0.3152
360,0.1908,0.306
361,0.1868,0.296
362,0.2096,0.322
363,0.1908,0.3052
364,0.2024,0.3176
365,0.2032,0.3192
366,0.2,0.3244
367,0.1824,0.2904
368,0.2092,0.3364
369,0.1904,0.3068
370,0.2036,0.322
371,0.1956,0.3116
372,0.2116,0.3236
373,0.1968,0.3164
374,0.214,0.3304
375,0.1856,0.304
376,0.2152,0.3508
377,0.204,0.3328
378,0.2088,0.3428
379,0.1908,0.3112
380,0.2152,0.342
381,0.1812,0.3024
382,0.218,0.342
383,0.2064,0.3252
384,0.1876,0.3044
385,0.2156,0.3288
386,0.1964,0.3032
387,0.2044,0.3184
388,0.2024,0.3136
389,0.2092,0.3276
390,0.1996,0.316
391,0.2,0.3192
392,0.1992,0.3212
393,0.2112,0.3296
394,0.1928,0.3132
395,0.2172,0.338
396,0.1848,0.2972
397,0.218,0.3392
398,0.1932,0.3132
399,0.2156,0.3316
400,0.188,0.3088
401,0.2088,0.3336
402,0.182,0.2976
403,0.2168,0.3412
404,0.2076,0.334
405,0.1904,0.2992
406,0.2004,0.3156
407,0.2048,0.3184
408,0.1968,0.314
409,0.2076,0.3264
410,0.1964,0.3176
411,0.198,0.3144
412,0.2052,0.3224
413,0.1848,0.3008
414,0.2216,0.3516
415,0.186,0.3036
416,0.2212,0.3436
417,0.1804,0.2944
418,0.2316,0.3616
419,0.1756,0.2852
420,0.2068,0.3324
421,0.1948,0.3168
422,0.2148,0.3436
423,0.1972,0.3244
424,0.2076,0.3268
425,0.2024,0.324
426,0.2048,0.3216
427,0.2188,0.3432
428,0.19,0.3088
429,0.2132,0.3424
430,0.1888,0.2996
431,0.2052,0.3184
432,0.1976,0.3156
433,0.1992,0.3072
434,0.2048,0.3212
435,0.2032,0.3228
436,0.1864,0.3012
437,0.2044,0.3272
438,0.1892,0.3112
439,0.196,0.3136
440,0.2136,0.3244
441,0.1984,0.326
442,0.2008,0.3276
443,0.1956,0.3144
444,0.2032,0.3184
445,0.2056,0.316
446,0.1992,0.3312
447,0.2024,0.3232
448,0.2008,0.3204
449,0.1928,0.298
450,0.2088,0.3304
451,0.1912,0.2888
452,0.2012,0.3148
453,0.2052,0.328
454,0.2164,0.3416
455,0.188,0.3036
456,0.202,0.3256
457,0.1876,0.3056
458,0.21,0.3312
459,0.1908,0.316
460,0.204,0.3188
461,0.1932,0.3048
462,0.212,0.3292
463,0.1932,0.3092
464,0.2024,0.3096
465,0.2184,0.338
466,0.1992,0.3044
467,0.1984,0.3212
468,0.202,0.3048
469,0.1864,0.3028
470,0.1984,0.3208
471,0.1908,0.3112
472,0.2156,0.3376
473,0.1948,0.3212
474,0.1972,0.3232
475,0.194,0.3208
476,0.1952,0.3168
477,0.1988,0.3228
478,0.2032,0.3284
479,0.2056,0.324
480,0.1904,0.3
481,0.2172,0.3392
482,0.206,0.3232
483,0.204,0.3188
484,0.1916,0.306
485,0.2068,0.3268
486,0.1924,0.3044
487,0.2132,0.3352
488,0.188,0.3096
489,0.2084,0.3296
490,0.2076,0.3324
491,0.184,0.2944
492,0.2072,0.33
493,0.1936,0.304
494,0.2072,0.33
495,0.1876,0.2972
496,0.202,0.3164
497,0.1848,0.292
498,0.2032,0.3112
499,0.1988,0.3
500,0.204,0.3164
501,0.1908,0.3008
502,0.2016,0.3168
503,0.184,0.304
504,0.2172,0.342
505,0.1856,0.306
506,0.2112,0.324
507,0.2072,0.3248
508,0.2052,0.326
509,0.1916,0.312
510,0.2088,0.3276
511,0.1852,0.3052
512,0.222,0.3476
513,0.1912,0.3012
514,0.2096,0.316
515,0.198,0.3068
516,0.2072,0.318
517,0.188,0.3092
518,0.2152,0.3396
519,0.1896,0.314
520,0.2096,0.3408
521,0.1924,0.3024
522,0.2084,0.3196
523,0.2008,0.3172
524,0.198,0.3084
525,0.2036,0.3252
526,0.1912,0.3072
527,0.2028,0.3216
528,0.192,0.3024
529,0.2208,0.3488
530,0.1932,0.31
531,0.214,0.3284
532,0.206,0.324
533,0.2044,0.3256
534,0.1984,0.3188
535,0.1912,0.3032
536,0.22,0.3304
537,0.1968,0.3044
538,0.2036,0.3108
539,0.1828,0.302
540,0.2128,0.3328
541,0.1812,0.2984
542,0.2132,0.3336
543,0.202,0.3196
544,0.2096,0.3312
545,0.1888,0.3052
546,0.224,0.3456
547,0.1852,0.3052
548,0.2168,0.3456
549,0.1888,0.298
550,0.1932,0.3144
551,0.2016,0.3136
552,0.2144,0.3316
553,0.1996,0.3208
554,0.2052,0.3204
555,0.1896,0.3144
556,0.212,0.338
557,0.1788,0.2952
558,0.2032,0.3228
559,0.1952,0.3196
560,0.2116,0.3296
561,0.1948,0.3108
562,0.2024,0.3176
563,0.1976,0.318
564,0.21,0.3276
565,0.1876,0.3148
566,0.2036,0.33
567,0.2036,0.3216
568,0.1924,0.3128
569,0.2128,0.3288
570,0.192,0.302
571,0.1852,0.3148
572,0.216,0.3488
573,0.1824,0.3036
574,0.2156,0.3372
575,0.1876,0.3104
576,0.2016,0.3224
577,0.196,0.3164
578,0.2068,0.3312
579,0.184,0.3048
580,0.2,0.3192
581,0.1928,0.3164
582,0.2068,0.3264
583,0.1916,0.314
584,0.1972,0.3232
585,0.2008,0.3196
586,0.1904,0.3132
587,0.2148,0.3436
588,0.1816,0.3032
589,0.216,0.3476
590,0.1904,0.3064
591,0.2068,0.3216
592,0.2056,0.3276
593,0.2028,0.318
594,0.2012,0.3228
595,0.2176,0.3352
596,0.2048,0.3304
597,0.2028,0.3244
598,0.186,0.3088
599,0.214,0.344
600,0.1872,0.3068
601,0.212,0.3384
602,0.188,0.3072
603,0.2112,0.3328
604,0.1876,0.3136
605,0.2108,0.3412
606,0.1764,0.29
607,0.2168,0.3404
608,0.1832,0.2904
609,0.2048,0.3228
610,0.192,0.2952
611,0.1992,0.3136
612,0.198,0.3084
613,0.1924,0.3112
614,0.222,0.3492
615,0.192,0.3288
616,0.1976,0.324
617,0.2084,0.34
618,0.188,0.3032
619,0.2228,0.3468
620,0.1816,0.2988
621,0.2228,0.338
622,0.2036,0.3164
623,0.204,0.3132
624,0.1976,0.3088
625,0.2092,0.3376
626,0.2028,0.3132
627,0.1936,0.3084
628,0.2036,0.3256
