mc_step,rho_C,rho_CD
275,0.3532,0.206
276,0.4744,0.2236
277,0.3532,0.2128
278,0.4772,0.2292
279,0.3512,0.2036
280,0.4716,0.2248
281,0.3584,0.2116
282,0.4724,0.2172
283,0.3508,0.2072
284,0.4728,0.2196
285,0.3584,0.2064
286,0.4756,0.2176
287,0.3496,0.1884
288,0.4832,0.2156
289,0.3508,0.2004
290,0.4852,0.2304
291,0.3508,0.194
292,0.4832,0.2228
293,0.358,0.198
294,0.4692,0.208
295,0.3516,0.2032
296,0.4788,0.2036
297,0.3576,0.2032
298,0.4732,0.2104
299,0.3612,0.1956
300,0.4856,0.2132
301,0.3452,0.1956
302,0.4764,0.2196
303,0.3576,0.2016
304,0.4804,0.2168
305,0.3536,0.2
306,0.4772,0.2268
307,0.3628,0.2004
308,0.4772,0.2176
309,0.3612,0.2044
310,0.4692,0.2224
311,0.3652,0.2052
312,0.4672,0.2244
313,0.3536,0.2152
314,0.4772,0.2328
315,0.352,0.2084
316,0.4728,0.2304
317,0.348,0.2032
318,0.4624,0.2252
319,0.3644,0.2164
320,0.4756,0.2284
321,0.3584,0.2076
322,0.4684,0.2308
323,0.3588,0.218
324,0.4612,0.2364
325,0.3624,0.2176
326,0.4692,0.2304
327,0.3596,0.2016
328,0.4684,0.2308
329,0.3592,0.2224
330,0.4744,0.2252
331,0.354,0.2048
332,0.4812,0.218
333,0.3552,0.206
334,0.4728,0.2128
335,0.37,0.2012
336,0.4652,0.2112
337,0.3668,0.2
338,0.4588,0.2136
339,0.362,0.2108
340,0.4644,0.2116
341,0.3616,0.2024
342,0.4688,0.2092
343,0.37,0.2016
344,0.46,0.202
345,0.3704,0.2048
346,0.4672,0.2188
347,0.3576,0.2096
348,0.4764,0.2304
349,0.3536,0.2024
350,0.4768,0.2192
351,0.3488,0.1956
352,0.4684,0.222
353,0.3588,0.212
354,0.4672,0.2092
355,0.3656,0.208
356,0.4652,0.2204
357,0.3492,0.2068
358,0.4808,0.2332
359,0.35,0.2168
360,0.466,0.2248
361,0.3564,0.2168
362,0.4648,0.2324
363,0.366,0.2228
364,0.4636,0.2228
365,0.368,0.2104
366,0.4608,0.2132
367,0.3712,0.2128
368,0.4584,0.2188
369,0.3756,0.2136
370,0.4608,0.2176
371,0.3648,0.2072
372,0.4692,0.2268
373,0.3516,0.2092
374,0.4732,0.2284
375,0.3672,0.216
376,0.4616,0.2228
377,0.3644,0.214
378,0.4696,0.2192
379,0.3716,0.202
380,0.4604,0.2216
381,0.3612,0.2008
382,0.4592,0.2156
383,0.3648,0.2024
384,0.4708,0.2148
385,0.3564,0.202
386,0.4656,0.2356
387,0.354,0.2036
388,0.4656,0.2216
389,0.3568,0.2108
390,0.4688,0.2152
391,0.3696,0.202
392,0.4692,0.2136
393,0.3568,0.2116
394,0.4764,0.214
395,0.3612,0.2192
396,0.482,0.2304
397,0.348,0.2044
398,0.4756,0.2108
399,0.356,0.2196
400,0.4672,0.2252
401,0.3592,0.218
402,0.4772,0.2188
403,0.3536,0.204
404,0.4708,0.2132
405,0.3476,0.2152
406,0.4748,0.2196
407,0.3516,0.2056
408,0.4832,0.2224
409,0.3548,0.2056
410,0.4752,0.206
411,0.3552,0.2016
412,0.4716,0.2172
413,0.3524,0.2004
414,0.4808,0.2184
415,0.356,0.2004
416,0.478,0.2156
417,0.3628,0.2016
418,0.47,0.2196
419,0.3592,0.2204
420,0.4764,0.2216
421,0.3504,0.212
422,0.4704,0.2284
423,0.3632,0.2164
424,0.4632,0.216
425,0.37,0.2144
426,0.4552,0.2024
427,0.374,0.2244
428,0.4436,0.2268
429,0.3756,0.2296
430,0.4612,0.222
431,0.3736,0.23
432,0.458,0.2232
433,0.3716,0.226
434,0.4528,0.2272
435,0.3548,0.228
436,0.464,0.2356
437,0.3572,0.22
438,0.4588,0.214
439,0.3636,0.2144
440,0.4684,0.216
441,0.3572,0.2068
442,0.4784,0.218
443,0.3572,0.206
444,0.4832,0.2352
445,0.364,0.2144
446,0.4648,0.2236
447,0.3456,0.212
448,0.4796,0.2368
449,0.348,0.2056
450,0.4784,0.2228
451,0.3596,0.2096
452,0.4672,0.2248
453,0.3576,0.21
454,0.4748,0.2188
455,0.3508,0.1964
456,0.4644,0.2312
457,0.36,0.2068
458,0.4588,0.2172
459,0.3632,0.2084
460,0.4684,0.2156
461,0.3616,0.2104
462,0.47,0.2232
463,0.3616,0.2088
464,0.4628,0.212
465,0.3564,0.2032
466,0.4608,0.2096
467,0.3576,0.2056
468,0.4708,0.2268
469,0.3516,0.2012
470,0.4768,0.2256
471,0.3504,0.2056
472,0.4816,0.2292
473,0.3412,0.2092
474,0.4812,0.2192
475,0.3492,0.1908
476,0.4856,0.2276
477,0.3532,0.1872
478,0.4672,0.2216
479,0.3564,0.2044
480,0.468,0.2188
481,0.3572,0.2024
482,0.4696,0.2224
483,0.3504,0.1952
484,0.4788,0.2156
485,0.3552,0.2036
486,0.4676,0.2224
487,0.3616,0.2128
488,0.4624,0.212
489,0.3572,0.2056
490,0.4684,0.2096
491,0.364,0.2072
492,0.464,0.2248
493,0.3592,0.2148
494,0.4588,0.2224
495,0.3616,0.2156
496,0.4548,0.2248
497,0.3628,0.2184
498,0.4676,0.2224
499,0.3616,0.214
500,0.4536,0.2204
501,0.3636,0.2128
502,0.4604,0.2304
503,0.3616,0.2172
504,0.46,0.2116
505,0.3724,0.2272
506,0.4612,0.214
507,0.3608,0.2136
508,0.4612,0.2252
509,0.362,0.2104
510,0.4592,0.2216
511,0.3608,0.2072
512,0.4764,0.2336
513,0.3528,0.2076
514,0.4704,0.2188
515,0.3592,0.206
516,0.468,0.2288
517,0.3628,0.212
518,0.4688,0.2204
519,0.3576,0.2064
520,0.4868,0.2216
521,0.3528,0.204
522,0.466,0.2236
523,0.3532,0.2152
524,0.47,0.2276
525,0.362,0.2168
526,0.4676,0.2272
527,0.3608,0.2244
528,0.4776,0.212
529,0.3652,0.2084
530,0.4744,0.2388
531,0.344,0.1984
532,0.4872,0.2316
533,0.344,0.2004
534,0.4796,0.2188
535,0.3452,0.1952
536,0.4788,0.2264
537,0.3528,0.2172
538,0.4704,0.2284
539,0.3484,0.2104
540,0.474,0.2284
541,0.3496,0.2108
542,0.476,0.2228
543,0.3516,0.2096
544,0.476,0.2224
545,0.3572,0.1956
546,0.476,0.2172
547,0.3492,0.1988
548,0.4656,0.2164
549,0.364,0.2088
550,0.4664,0.2248
551,0.3436,0.2076
552,0.4784,0.232
553,0.3588,0.214
554,0.4588,0.2092
555,0.3664,0.2088
556,0.468,0.2176
557,0.3556,0.2016
558,0.4648,0.2292
559,0.3576,0.2152
560,0.4716,0.222
561,0.3496,0.2148
562,0.4768,0.2204
563,0.3532,0.1972
564,0.476,0.2116
565,0.3536,0.1904
566,0.476,0.216
567,0.348,0.1996
568,0.4692,0.2204
569,0.3508,0.2136
570,0.4592,0.2116
571,0.3532,0.2048
572,0.4604,0.2164
573,0.3696,0.1936
574,0.4664,0.2012
575,0.3656,0.1996
576,0.4556,0.2064
577,0.362,0.2144
578,0.4656,0.2252
579,0.3608,0.2076
580,0.4732,0.2112
581,0.3512,0.2092
582,0.47,0.2164
583,0.3668,0.2032
584,0.47,0.2224
585,0.3476,0.198
586,0.4776,0.2204
587,0.3484,0.1952
588,0.4824,0.222
589,0.3496,0.202
590,0.4824,0.2136
591,0.3488,0.1996
592,0.4748,0.2168
593,0.3524,0.1964
594,0.4804,0.2132
595,0.3476,0.1948
596,0.4776,0.2188
597,0.354,0.204
598,0.4736,0.2244
599,0.3468,0.1944
600,0.4644,0.2208
601,0.3652,0.2144
602,0.4644,0.2168
603,0.3544,0.2112
604,0.4732,0.2216
