BETA,KAPPA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.1,0.0,0.36704823999999997,9.393348090239998e-05,0.009691928647199173,0.026405054134571452
0.1,0.02040816326530612,0.36168904,9.398192787839999e-05,0.00969442767152347,0.026803211044281215
0.1,0.04081632653061224,0.35607432,9.592244453759999e-05,0.009794000435858678,0.027505495020979546
0.1,0.061224489795918366,0.34972255999999996,0.0001020321470464,0.010101096328933806,0.028883170502165507
0.1,0.08163265306122448,0.34315263999999995,0.00014633542103040004,0.012096917831844608,0.0352522942322245
0.1,0.1020408163265306,0.38809136,0.0177985198453504,0.13341109341186885,0.3437620806911776
0.1,0.12244897959183673,0.3855672,0.019384080652160005,0.13922672391520244,0.3610958710056313
0.1,0.14285714285714285,0.38718783999999995,0.0159048899641344,0.126114590607647,0.32571939916203724
0.1,0.16326530612244897,0.39122264,0.014709952671430401,0.12128459371012627,0.3100142509905006
0.1,0.18367346938775508,0.39831432000000005,0.020169013874937598,0.14201765339188505,0.35654669255146293
0.1,0.2040816326530612,0.40442712000000003,0.015679928256505597,0.12521952026942762,0.3096219666708494
0.1,0.22448979591836732,0.31798632000000004,0.0001054079728576,0.010266838503531649,0.032287044623591506
0.1,0.24489795918367346,0.31354768,0.00010584494261759998,0.010288097132978478,0.032811906415568054
0.1,0.26530612244897955,0.30880040000000003,0.00010860975983999999,0.01042160063713823,0.03374866301059917
0.1,0.2857142857142857,0.30390735999999996,0.00011653708183039999,0.010795234218413234,0.03552146357499613
0.1,0.3061224489795918,0.29837784,0.0001184774929344,0.010884736695685385,0.03647970873334757
0.1,0.32653061224489793,0.292444,0.000128313008,0.011327533182471813,0.03873402491578495
0.1,0.3469387755102041,0.28823872,0.0001322294767616,0.011499107650665768,0.03989438910450951
0.1,0.36734693877551017,0.28698192,0.0001311116091136,0.011450397770977215,0.03989936986614772
0.1,0.3877551020408163,0.28573768,0.0001259644362176,0.011223387911749285,0.0392786415559519
0.1,0.4081632653061224,0.28446536,0.0001397752800704,0.011822659602238406,0.04156098163318868
0.1,0.42857142857142855,0.28324568,0.00013095692133759996,0.011443641087416188,0.040401820382277985
0.1,0.44897959183673464,0.2819184,0.00012611878144,0.011230261859814312,0.039835150383282225
0.1,0.4693877551020408,0.28057296,0.00013507952483840003,0.011622371738952426,0.041423705758931395
0.1,0.4897959183673469,0.27896888,0.0001308614955456,0.011439470946927571,0.04100626187024005
0.1,0.5102040816326531,0.27753072,0.0001289465602816,0.01135546389548221,0.04091606109580305
0.1,0.5306122448979591,0.27627952000000006,0.0001350288125696,0.011620189868052931,0.04205954125029944
0.1,0.5510204081632653,0.2745692,0.00013341325935999998,0.011550465763769007,0.04206759448535745
0.1,0.5714285714285714,0.27307655999999997,0.0001266054025664,0.011251906619164594,0.0412042198684669
0.1,0.5918367346938775,0.27148095999999994,0.0001329289334784,0.01152948105850389,0.0424688385458188
0.1,0.6122448979591836,0.26960224,0.0001299530189824,0.011399693810905625,0.04228337943670507
0.1,0.6326530612244897,0.26797368,0.0001266875312576,0.01125555557303148,0.042002466708788266
0.1,0.6530612244897959,0.26615656,0.0001299449929664,0.011399341777769452,0.042829460140939045
0.1,0.673469387755102,0.26420416,0.0001420262226944,0.011917475516836609,0.04510706991455626
0.1,0.6938775510204082,0.26235664000000003,0.0001372321679104,0.011714613434100163,0.044651484460618805
0.1,0.7142857142857142,0.26024072,0.0001324823738816,0.01151009877809917,0.04422866174862708
0.1,0.7346938775510203,0.25837032,0.00013165694309759998,0.011474185944876437,0.0444098453137978
0.1,0.7551020408163265,0.25632336,0.0001286556303104,0.011342646530259152,0.044251318062696866
0.1,0.7755102040816326,0.25406464,0.0001293892296704,0.011374938666665417,0.044771829195378844
0.1,0.7959183673469387,0.25189056,0.0001394641188864,0.011809492744669433,0.04688342724979227
0.1,0.8163265306122448,0.24949039999999995,0.00013815547584000002,0.011753955752851888,0.0471118558183076
0.1,0.836734693877551,0.2470484,0.00014404898544,0.01200204088644927,0.04858173898899677
0.1,0.8571428571428571,0.24475064000000002,0.0001349419795904,0.011616452969405076,0.047462400790474236
0.1,0.8775510204081632,0.24209872,0.00014287172636160003,0.011952896149536313,0.04937199234071256
0.1,0.8979591836734693,0.23949671999999997,0.0001508761492416,0.01228316527779383,0.051287405012452075
0.1,0.9183673469387754,0.23672416000000002,0.0001477911122944,0.012156936797335092,0.051354862965128235
0.1,0.9387755102040816,0.23415496000000002,0.00014630107539839997,0.01209549814593843,0.051655955295324206
0.1,0.9591836734693877,0.23138976000000003,0.00014653307914239998,0.012105084846559316,0.05231469554469184
0.1,0.9795918367346939,0.22848512,0.0001448138745856,0.01203386365992236,0.052668040964428495
0.1,1.0,0.22763816,0.0001547827678144,0.0124411722845719,0.0546532808232675
0.10630449594493915,0.0,0.36692887999999996,9.27311339456e-05,0.009629700615574712,0.026244052023309566
0.10630449594493915,0.02040816326530612,0.36183719999999997,9.376200816e-05,0.009683078444379142,0.026760870480921097
0.10630449594493915,0.04081632653061224,0.35561696000000004,0.0001014272963584,0.010071111972289852,0.028320111538802453
0.10630449594493915,0.061224489795918366,0.34929944000000007,9.69129596864e-05,0.009844438007646755,0.02818337758470713
0.10630449594493915,0.08163265306122448,0.34197647999999997,0.00010514223080959999,0.010253888570176681,0.029984192392929133
0.10630449594493915,0.1020408163265306,0.38294888,0.018888144586745596,0.13743414636379708,0.358883792436727
0.10630449594493915,0.12244897959183673,0.38116871999999996,0.012709477517561601,0.11273631853826699,0.2957648742485139
0.10630449594493915,0.14285714285714285,0.38469296,0.0123661427184384,0.111203159660319,0.28906991087208617
0.10630449594493915,0.16326530612244897,0.39032064,0.016728838117990398,0.12934000973399684,0.33136861461898826
0.10630449594493915,0.18367346938775508,0.39848504,0.017587747808198398,0.13261880638958562,0.332807491065626
0.10630449594493915,0.2040816326530612,0.40735304,0.0132139067867584,0.11495175851964336,0.2821919741157286
0.10630449594493915,0.22448979591836732,0.317594,0.00010694668400000001,0.010341502985543252,0.03256202253677101
0.10630449594493915,0.24489795918367346,0.31318112000000004,0.0001057537555456,0.010283664499856071,0.03283615723660503
0.10630449594493915,0.26530612244897955,0.30839072,0.00011007972188159998,0.010491888384919084,0.03402141408444159
0.10630449594493915,0.2857142857142857,0.30352384000000004,0.00011788392765440001,0.01085743651394748,0.03577128081256312
0.10630449594493915,0.3061224489795918,0.29792864,0.00011757986775040001,0.010843425093133628,0.0363960480373207
0.10630449594493915,0.32653061224489793,0.29193591999999996,0.00012742171775359998,0.011288122862265451,0.038666440437564016
0.10630449594493915,0.3469387755102041,0.28798576000000004,0.00013065170122240002,0.011430297512418476,0.03969049550373072
0.10630449594493915,0.36734693877551017,0.28670464,0.0001262533064704,0.011236249662160414,0.03919102830760051
0.10630449594493915,0.3877551020408163,0.28546376,0.0001362633266624,0.011673188367468418,0.04089201504060767
0.10630449594493915,0.4081632653061224,0.28413447999999997,0.0001336421711296,0.011560370717654343,0.040686264889971624
