BETA,GAMMA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.1,0.1,0.36820392,0.0001242230886336,0.01114554119967263,0.030270023197125736
0.1,0.10630449594493915,0.36746512000000003,0.0001178268633856,0.010854808307178897,0.0295396970117297
0.1,0.11300645858107586,0.36684103999999995,0.0001262133877184,0.011234473183839107,0.030624908226841545
0.1,0.12013094617983913,0.36583624,0.0001176000946624,0.01084435773397392,0.029642655779465482
0.1,0.12770459681036414,0.36489776,0.0001235880109824,0.011117014481523356,0.030466107770909186
0.1,0.13575572793777443,0.36385120000000004,0.00011840947455999999,0.010881611762969675,0.02990676343233078
0.1,0.14431444230063406,0.3628996,0.00012413430384,0.011141557514100082,0.03070148744749259
0.1,0.1534127404634391,0.36186999999999997,0.00012145948399999997,0.011020865846202828,0.030455317783189623
0.1,0.16308464046497667,0.3606152,0.00011990786496000002,0.010950244972602212,0.030365455955828295
0.1,0.1733663050099097,0.3592208,0.00011869428735999998,0.010894690787718575,0.030328674697340952
0.1,0.18429617667915033,0.35785944,0.00011823377888640002,0.010873535712287885,0.030384934689127903
0.1,0.1959151216645652,0.35625263999999995,0.00012088580503039999,0.010994808094296144,0.030862390505502345
0.1,0.2082665825654304,0.35450336,0.00012508666071039997,0.011184214800798488,0.03154896698524518
0.1,0.22139674081793126,0.35274543999999997,0.0001182356152064,0.010873620151835359,0.030825685944615926
0.1,0.23535468936502527,0.35059544,0.00011438020320640003,0.010694868078026958,0.030504869310413615
0.1,0.25019261621226735,0.34839168,0.0001160700107776,0.010773579292769881,0.030923755965612847
0.1,0.265965999555907,0.34606391999999997,0.0001139965862336,0.010676918386575782,0.030852445948643774
0.1,0.28273381521282603,0.34344456,0.00012301036640640002,0.011091003850256298,0.03229343289134146
0.1,0.3005587571278905,0.34073087999999996,0.0001137673184256,0.010666176373265163,0.03130381482671945
0.1,0.3195074717831778,0.3373924,0.00012195744624000003,0.011043434530978124,0.03273172285735578
0.1,0.33965080738552583,0.33385816,0.0001198809694144,0.010949016824098864,0.03279541474768466
