GAMMA,KAPPA,mean_rho_c,var_rho_c,std_rho_c,cv_rho_c
0.1,0.0,0.39940752,0.0001016910154496,0.010084196321452691,0.025247887975300743
0.1,0.02040816326530612,0.39539895999999997,0.00010065574291839998,0.010032733571584565,0.025373697420915234
0.1,0.04081632653061224,0.39118552,0.00010595611032959999,0.010293498449487423,0.026313597828179894
0.1,0.061224489795918366,0.38693008,0.00010307485519360003,0.010152578745993552,0.02623879421830826
0.1,0.08163265306122448,0.38174904000000004,0.00010977148307840001,0.010477188701097257,0.027445226060286244
0.1,0.1020408163265306,0.37589392,0.0001095817070336,0.010468128153285095,0.027848623232014754
0.1,0.12244897959183673,0.36977728000000004,0.0001222936278016,0.011058644935144631,0.02990623148924842
0.1,0.14285714285714285,0.42200328,0.0417303093972416,0.20427997796465908,0.4840720147119688
0.1,0.16326530612244897,0.41886336,0.035381034513510407,0.18809847025829424,0.44906880911783315
0.1,0.18367346938775508,0.42500856000000004,0.0390789557667264,0.19768397953988684,0.46512940713449824
0.1,0.2040816326530612,0.42959151999999995,0.049617598520089595,0.22275008085316061,0.518516009936976
0.1,0.22448979591836732,0.35739144,0.00010864888672639998,0.010423477669492077,0.029165437396855606
0.1,0.24489795918367346,0.35433856,0.0001141924491264,0.010686086707789713,0.03015784313112779
0.1,0.26530612244897955,0.3510784,0.00011080953344000002,0.01052661072900485,0.02998364675526848
0.1,0.2857142857142857,0.3477872,0.00011689890815999999,0.010811979844598306,0.031087917682417022
0.1,0.3061224489795918,0.3439736,0.00011899674304000001,0.010908562831097413,0.031713372279434854
0.1,0.32653061224489793,0.34039823999999996,0.0001264801889024,0.011246341134004429,0.03303877579979388
0.1,0.3469387755102041,0.33608128,0.0001159373935616,0.010767422791067507,0.032038150982606074
0.1,0.36734693877551017,0.33183904,0.0001248030838784,0.01117153005986199,0.03366550861484529
0.1,0.3877551020408163,0.32688192,0.0001303656411136,0.011417777415661946,0.034929363531828087
0.1,0.4081632653061224,0.32190824,0.00014235999610240002,0.011931470827286971,0.03706481955008971
0.1,0.42857142857142855,0.31659936,0.0001385776635904,0.011771901443284343,0.037182328616470806
0.1,0.44897959183673464,0.31055928,0.0001586236218816,0.012594587007186858,0.040554534410264145
0.1,0.4693877551020408,0.3089244,0.00016309834863999998,0.012770996383994477,0.041340199686377886
0.1,0.4897959183673469,0.30743311999999995,0.0001582228390656,0.012578666028860135,0.0409151298625865
0.1,0.5102040816326531,0.30651928,0.0001607120122816,0.012677224155216315,0.041358651746853624
0.1,0.5306122448979591,0.30528888,0.00014724640434560002,0.01213451294224865,0.03974764145437807
0.1,0.5510204081632653,0.30423047999999997,0.00015639196696960001,0.012505677389473951,0.04110593188911891
0.1,0.5714285714285714,0.30318568000000007,0.0001639948349376,0.012806046811471525,0.04223829704447625
0.1,0.5918367346938775,0.30199296,0.0001482032144384,0.012173874257540202,0.04031178163073802
0.1,0.6122448979591836,0.30062256,0.0001565393310464,0.012511567889213567,0.041618858841510654
0.1,0.6326530612244897,0.29927615999999996,0.0001605815276544,0.012672076690677025,0.04234241942517916
0.1,0.6530612244897959,0.29795775999999996,0.0001530501197824,0.012371342683088201,0.041520458077977905
0.1,0.673469387755102,0.29661888,0.00015811023554560002,0.012574189259972193,0.042391736021564756
0.1,0.6938775510204082,0.2952396,0.00014561939184,0.012067286017990954,0.04087285722508415
0.1,0.7142857142857142,0.29393512,0.0001518520785856,0.012322827540203588,0.041923631106768014
0.1,0.7346938775510203,0.29225072,0.0001635910274816,0.012790270813458174,0.04376471959917899
